"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Suella Fernandes ","@SuellaBraverman","Conservative","Fareham",33046,112
"Stuart Paul Anderson","@Stuart4WolvesSW","Conservative","Wolverhampton South West",7760,-4
"Stuart C. McDonald ","@Stuart_McDonald","Scottish National Party","Cumbernauld, Kilsyth and Kirkintilloch East",13672,0
"Stuart Andrew","@StuartAndrew","Conservative","Pudsey",20291,-2
"Stewart Malcolm McDonald ","@StewartMcDonald","Scottish National Party","Glasgow South",38192,5
"Stewart Hosie ","@StewartHosieSNP","Scottish National Party","Dundee East",28508,5
"Steven Bonnar","@StevenBonnarSNP","Scottish National Party","Coatbridge, Chryston and Bellshill",4046,-1
"Steven Baker ","@SteveBakerHW","Conservative","Wycombe",154572,30
"Steve Reed ","@SteveReedMP","Labour","Croydon North",36432,4
"Steve McCabe ","@steve_mccabe","Labour","Birmingham, Selly Oak",19050,-2
"Steve Double ","@stevedouble","Conservative","St Austell and Newquay",14526,-3
"Steve Brine","@BrineMP","Conservative","Winchester",12113,1
"Stephen Timms ","@stephenctimms","Labour","East Ham",19362,3
"Stephen Morgan","@StephenMorganMP","Labour","Portsmouth South",16719,6
"Stephen Metcalfe ","@Metcalfe_SBET","Conservative","South Basildon and East Thurrock",7730,1
"Stephen McPartland ","@SMcPartland","Conservative","Stevenage",16521,-3
"Stephen Kinnock ","@SKinnock","Labour","Aberavon",37105,-2
"Stephen Hammond","@S_Hammond","Conservative","Wimbledon",20284,-4
"Stephen Flynn","@StephenFlynnSNP","Scottish National Party","Aberdeen South",10224,7
"Stephen Farry","@StephenFarryMP","Alliance Party of Northern Ireland","North Down",17242,7
"Stephen Doughty ","@SDoughtyMP","Labour","Cardiff South and Penarth",36595,-2
"Stephen Crabb ","@SCrabbPembs","Conservative","Preseli Pembrokeshire",22729,0
"Stephen Barclay ","@SteveBarclay","Conservative","North East Cambridgeshire",37971,0
"Stephanie Peacock","@Steph_Peacock","Labour","Barnsley East",10738,7
"Stella Creasy ","@stellacreasy","Labour","Walthamstow",156673,628
"Siobhan Baillie","@Siobhan_Baillie","Conservative","Stroud",13159,-7
"Siobhain McDonagh","@Siobhain_Mc","Labour","Mitcham and Morden",22437,-2
"Simon Jupp","@simonjamesjupp","Conservative","East Devon",8397,1
"Simon Hoare ","@Simon4NDorset","Conservative","North Dorset",22140,2
"Simon Hart ","@Simonhartmp","Conservative","Carmarthen West and South Pembrokeshire",11310,-4
"Simon Fell","@simonfell","Conservative","Barrow and Furness",4771,-2
"Simon Clarke","@SimonClarkeMP","Conservative","Middlesbrough South and East Cleveland",20404,18
"Simon Baynes","@baynes_simon","Conservative","Clwyd South",4824,1
"Sheryll Murray ","@sheryllmurray","Conservative","South East Cornwall",18742,3
"Shaun Bailey","@Shaun4WBW","Conservative","West Bromwich West",4538,1
"Sharon Hodgson ","@SharonHodgsonMP","Labour","Washington and Sunderland West",34862,3
"Shailesh Vara","@ShaileshVara","Conservative","North West Cambridgeshire",4538,1
"Shabana Mahmood ","@ShabanaMahmood","Labour","Birmingham, Ladywood",25821,3
"Selaine Saxby","@SelaineSaxby","Conservative","North Devon",4892,5
"Seema Malhotra ","@SeemaMalhotra1","Labour","Feltham and Heston",26008,6
"Scott Mann ","@scottmann4NC","Conservative","North Cornwall",9158,4
"Scott Lloyd Benton","@ScottBentonMP","Conservative","Blackpool South",7601,13
"Sarah Owen","@SarahOwen_","Labour","Luton North",22421,3
"Sarah Olney","@sarahjolney1","Liberal Democrat","Richmond Park",18037,0
"Sarah Jones","@LabourSJ","Labour","Croydon Central",23418,3
"Sarah Green","@SarahGreenLD","Liberal Democrat","Chesham and Amersham",10726,1
"Sarah Dines","@Dines4Dales","Conservative","Derbyshire Dales",1954,1
"Sarah Champion ","@SarahChampionMP","Labour","Rotherham",50449,-3
"Sara Britcliffe","@SarBritcliffeMP","Conservative","Hyndburn",6665,1
"Saqib Bhatti","@bhatti_saqib","Conservative","Meriden",8030,4
"Sammy Wilson ","@eastantrimmp","Democratic Unionist Party","East Antrim",23828,-5
"Sam Tarry","@SamTarry","Labour","Ilford South",22369,-1
"Sally-Ann Hart","@SallyAnn1066","Conservative","Hastings and Rye",4797,3
"Sajid Javid ","@sajidjavid","Conservative","Bromsgrove",286226,3
"Ruth Jones","@RuthNewportWest","Labour","Newport West",7571,8
"Ruth Edwards","@RuthEdwardsMP","Conservative","Rushcliffe",4431,3
"Ruth Cadbury ","@RuthCadbury","Labour","Brentford and Isleworth",23537,-2
"Rushanara Ali ","@rushanaraali","Labour","Bethnal Green and Bow",47236,-4
"Royston Smith ","@Royston_Smith","Conservative","Southampton, Itchen",8342,-2
"Rosie Duffield","@RosieDuffield1","Labour","Canterbury",48604,86
"Rosie Cooper ","@rosie4westlancs","Labour","West Lancashire",14853,-3
"Ronnie Cowan ","@ronniecowan","Scottish National Party","Inverclyde",13537,0
"Roger Gale","@SirRogerGale","Conservative","North Thanet",12251,-6
"Robin Walker ","@WalkerWorcester","Conservative","Worcester",16415,4
"Robin John Millar","@RobinMillarMP","Conservative","Aberconwy",3859,-3
"Robert Syms ","@RobertSyms","Conservative","Poole",13244,1
"Robert Neill ","@neill_bob","Conservative","Bromley and Chislehurst",18873,15
"Robert Largan","@robertlargan","Conservative","High Peak",7199,-3
"Robert Jenrick ","@RobertJenrick","Conservative","Newark",55660,-6
"Robert Halfon ","@halfon4harlowMP","Conservative","Harlow",37647,4
"Robert Courts ","@robertcourts","Conservative","Witney",10349,-2
"Robert Buckland ","@RobertBuckland","Conservative","South Swindon",30528,-3
"Robbie Moore","@_RobbieMoore","Conservative","Keighley",6395,5
